Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
86270,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
86270,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
54120,MXN,Gustavo Baz Prada,Tlalnepantla de Baz,México,"Gustavo Baz Prada, Tlalnepantla de Baz, México"
54120,MXN,Gustavo Baz Prada,Tlalnepantla de Baz,México,"Gustavo Baz Prada, Tlalnepantla de Baz, México"
54120,MXN,Gustavo Baz Prada,Tlalnepantla de Baz,México,"Gustavo Baz Prada, Tlalnepantla de Baz, México"
54120,MXN,Gustavo Baz Prada,Tlalnepantla de Baz,México,"Gustavo Baz Prada, Tlalnepantla de Baz, México"
57000,MXN,Benito Juárez (La Aurora),Nezahualcóyotl,México,"Benito Juárez (La Aurora), Nezahualcóyotl, México"
57000,MXN,Benito Juárez (La Aurora),Nezahualcóyotl,México,"Benito Juárez (La Aurora), Nezahualcóyotl, México"
57000,MXN,Benito Juárez (La Aurora),Nezahualcóyotl,México,"Benito Juárez (La Aurora), Nezahualcóyotl, México"
57000,MXN,Benito Juárez (La Aurora),Nezahualcóyotl,México,"Benito Juárez (La Aurora), Nezahualcóyotl, México"
2110,MXN,,,,
2110,MXN,,,,
76806.0,MXN,Lomas de San Juan 2da. Sección,San Juan del Río,Querétaro,"Lomas de San Juan 2da. Sección, San Juan del Río, Querétaro"
76806.0,MXN,Lomas de San Juan 2da. Sección,San Juan del Río,Querétaro,"Lomas de San Juan 2da. Sección, San Juan del Río, Querétaro"
36900.0,MXN,Pénjamo Centro,Pénjamo,Guanajuato,"Pénjamo Centro, Pénjamo, Guanajuato"
36900.0,MXN,Pénjamo Centro,Pénjamo,Guanajuato,"Pénjamo Centro, Pénjamo, Guanajuato"
36900.0,MXN,Pénjamo Centro,Pénjamo,Guanajuato,"Pénjamo Centro, Pénjamo, Guanajuato"
36900.0,MXN,Pénjamo Centro,Pénjamo,Guanajuato,"Pénjamo Centro, Pénjamo, Guanajuato"
86270.0,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
86270.0,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
86270.0,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
86270.0,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
36513.0,MXN,Tenerías de Irapuato,Irapuato,Guanajuato,"Tenerías de Irapuato, Irapuato, Guanajuato"
36513.0,MXN,Tenerías de Irapuato,Irapuato,Guanajuato,"Tenerías de Irapuato, Irapuato, Guanajuato"
36513.0,MXN,Tenerías de Irapuato,Irapuato,Guanajuato,"Tenerías de Irapuato, Irapuato, Guanajuato"
36513.0,MXN,Tenerías de Irapuato,Irapuato,Guanajuato,"Tenerías de Irapuato, Irapuato, Guanajuato"
23096.0,MXN,Guaycura,La Paz,Baja California Sur,"Guaycura, La Paz, Baja California Sur"
23096.0,MXN,Guaycura,La Paz,Baja California Sur,"Guaycura, La Paz, Baja California Sur"
23096.0,MXN,Guaycura,La Paz,Baja California Sur,"Guaycura, La Paz, Baja California Sur"
23096.0,MXN,Guaycura,La Paz,Baja California Sur,"Guaycura, La Paz, Baja California Sur"
75490.0,MXN,San Mateo Tlaixpan,Tecamachalco,Puebla,"San Mateo Tlaixpan, Tecamachalco, Puebla"
75490.0,MXN,San Mateo Tlaixpan,Tecamachalco,Puebla,"San Mateo Tlaixpan, Tecamachalco, Puebla"
4369.0,MXN,Pedregal de Santo Domingo,Coyoacán,Ciudad de México,"Pedregal de Santo Domingo, Coyoacán, Ciudad de México"
4369.0,MXN,Pedregal de Santo Domingo,Coyoacán,Ciudad de México,"Pedregal de Santo Domingo, Coyoacán, Ciudad de México"
24040.0,MXN,San José,Campeche,Campeche,"San José, Campeche, Campeche"
24040.0,MXN,San José,Campeche,Campeche,"San José, Campeche, Campeche"
24040.0,MXN,San José,Campeche,Campeche,"San José, Campeche, Campeche"
24040.0,MXN,San José,Campeche,Campeche,"San José, Campeche, Campeche"
89515.0,MXN,Carlos Jiménez Macías,Ciudad Madero,Tamaulipas,"Carlos Jiménez Macías, Ciudad Madero, Tamaulipas"
89515.0,MXN,Carlos Jiménez Macías,Ciudad Madero,Tamaulipas,"Carlos Jiménez Macías, Ciudad Madero, Tamaulipas"
73900.0,MXN,Huaxtla,Tlatlauquitepec,Puebla,"Huaxtla, Tlatlauquitepec, Puebla"
73900.0,MXN,Huaxtla,Tlatlauquitepec,Puebla,"Huaxtla, Tlatlauquitepec, Puebla"
34220.0,MXN,Guadalupe,Durango,Durango,"Guadalupe, Durango, Durango"
34220.0,MXN,Guadalupe,Durango,Durango,"Guadalupe, Durango, Durango"
73900.0,MXN,Huaxtla,Tlatlauquitepec,Puebla,"Huaxtla, Tlatlauquitepec, Puebla"
73900.0,MXN,Huaxtla,Tlatlauquitepec,Puebla,"Huaxtla, Tlatlauquitepec, Puebla"
46730.0,MXN,FONHAPO,Ahualulco de Mercado,Jalisco,"FONHAPO, Ahualulco de Mercado, Jalisco"
46730.0,MXN,FONHAPO,Ahualulco de Mercado,Jalisco,"FONHAPO, Ahualulco de Mercado, Jalisco"
94300.0,MXN,Orizaba Centro,Orizaba,Veracruz de Ignacio de la Llave,"Orizaba Centro, Orizaba, Veracruz de Ignacio de la Llave"
94300.0,MXN,Orizaba Centro,Orizaba,Veracruz de Ignacio de la Llave,"Orizaba Centro, Orizaba, Veracruz de Ignacio de la Llave"
75700.0,MXN,Tehuacán Centro,Tehuacán,Puebla,"Tehuacán Centro, Tehuacán, Puebla"
75700.0,MXN,Tehuacán Centro,Tehuacán,Puebla,"Tehuacán Centro, Tehuacán, Puebla"
96400.0,MXN,Coatzacoalcos Centro,Coatzacoalcos,Veracruz de Ignacio de la Llave,"Coatzacoalcos Centro, Coatzacoalcos, Veracruz de Ignacio de la Llave"
96400.0,MXN,Coatzacoalcos Centro,Coatzacoalcos,Veracruz de Ignacio de la Llave,"Coatzacoalcos Centro, Coatzacoalcos, Veracruz de Ignacio de la Llave"
75700.0,MXN,Tehuacán Centro,Tehuacán,Puebla,"Tehuacán Centro, Tehuacán, Puebla"
75700.0,MXN,Tehuacán Centro,Tehuacán,Puebla,"Tehuacán Centro, Tehuacán, Puebla"
54750.0,MXN,Arcos del Alba,Cuautitlán Izcalli,México,"Arcos del Alba, Cuautitlán Izcalli, México"
54750.0,MXN,Arcos del Alba,Cuautitlán Izcalli,México,"Arcos del Alba, Cuautitlán Izcalli, México"
54750.0,MXN,Arcos del Alba,Cuautitlán Izcalli,México,"Arcos del Alba, Cuautitlán Izcalli, México"
54750.0,MXN,Arcos del Alba,Cuautitlán Izcalli,México,"Arcos del Alba, Cuautitlán Izcalli, México"
